供はぶっ倒れた	僕はぶっ倒れた
ぶつ倒れた	ぶっ倒れた
44人中409番	414人中409番
ロックパンド	ロックバンド
パンドを組んで	バンドを組んで
日本大学粒済学部	日本大学経済学部
休講示板	休講掲示板
西城秀様	西城秀樹
ペッパー部	ペッパー警部
カいっぱい	力いっぱい
烈怒然	烈怒葬
バーツと広がっていった	バーッと広がっていった
バーツと見渡して	バーッと見渡して
戸塚察署	戸塚警察署
茶ノ水	御茶ノ水
地横浜銀行	地元横浜銀行
頼できる子	信頼できる子
頼を寄せていた	信頼を寄せていた
小林学器と林学務	小林常務と林常務
送って返した	送って帰した
そうじてます	そう信じてます
言じられなかった	信じられなかった
言頼されているか	信頼されているか
借用してもらった	信用してもらった
エイベックス・グルーブ	エイベックス・グループ
学&取締役	常務取締役
営姿取終役	常務取締役
普察に何回も	警察に何回も
宜伝活動	宣伝活動
電柱やを探して	電柱や塀を探して
15年に拡張	15坪に拡張
号でバイトが走った	号令でバイトが走った
ものく大きな売上	もの凄く大きな売上
借用できた	信用できた
普官が飛んでくる	警官が飛んでくる
もの棲く強かった	もの凄く強かった
楽売りなど	薬売りなど
放息子	放蕩息子
皆察に約2か月	警察に約2か月
歴史説をむさぼり読んで	歴史小説をむさぼり読んで
千葉をめた	千葉を褒めた
山岡荘心	山岡荘八
ネガティブー辺倒	ネガティブ一辺倒
察に通報	警察に通報
頼していますし	信頼していますし
佐朝昭	佐藤朝昭
用もないのに	信用もないのに
依田 異	依田翼
体田さんに	依田さんに
菅野 読	菅野諒
DJは、未木強	DJは、末木強
会議も栗議も	会議も稟議も
ジュリアナ東京はオープン初	ジュリアナ東京はオープン当初
ビート・パー・ミート	ビート・パー・ミニット
TMINはシンセサイザー	TMNはシンセサイザー
婚しかった	嬉しかった
姉しかったなぁ	嬉しかったなぁ
本当に姉しい	本当に嬉しい
費者を見ながら	消費者を見ながら
用にかかわるから	信用にかかわるから
走している	奔走している
音楽組	音楽観
一生命	一生懸命
一生命に	一生懸命に
人を借じたら	人を信じたら
120バーセント	120パーセント
派走族	暴走族
千葉能平	千葉龍平
所屈することに	所属することに
どちらがけていても	どちらが欠けていても
（然にも	偶然にも
妻い不安	凄い不安
星野産や冬野竜産に	星野靖彦や冬野竜彦に
trtが動きだした	trfが動きだした
自があった1曲	自信があった1曲
私をじて	私を信じて
私を言じて	私を信じて
周防雄に	周防郁雄に
triのプレイク	trfのブレイク
依田 異が	依田巽が
それになりの	それなりの
とうていまらない	とうてい務まらない
石倉勇ーさん	石倉勇一さん
伊蕨一朗	伊藤一朗
伊蔵一朗	伊藤一朗
伊はくたくた	伊藤はくたくた
蘇えりました	蘇りました
alobe ファーストアルバム	globe ファーストアルバム
=時の松浦専務	当時の松浦専務
風がに地良かった	風が心地良かった
何も知らないからが低いし	何も知らないから腰が低いし
挙旬のはてに	挙句のはてに
本領を発していく	本領を発揮していく
天にかけるわけ	天秤にかけるわけ
ホワイト・アトアラス	ホワイト・アトラス
義を切りに	仁義を切りに
頼を勝ち得ていた	信頼を勝ち得ていた
伊東宏昇	伊東宏晃
作家探しに走した	作家探しに奔走した
伝部のいちばんの	宣伝部のいちばんの
時、菊池一化は	当時、菊池一仁は
元メの	元Xの
依田会長（時）	依田会長（当時）
音楽配（ビジネス	音楽配信ビジネス
松浦勝人vS	松浦勝人vs
然、僕のやり方	当然、僕のやり方
借じる	信じる
自をつけるにしても	自信をつけるにしても
専務アイテム"	"専務アイテム"
伝部の会議室	宣伝部の会議室
、力の一歩手前	暴力の一歩手前
照れ際し	照れ隠し
星野彦	星野靖彦
調を前にしないで	詞を前にしないで
中根建	中根建朗
じられないような	信じられないような
松浦務人	松浦勝人
株式会社ビッグショット 学業本部2本部示	株式会社ビッグショット 営業本部2本部長
熱睡している	熟睡している
言用しきっていた	信用しきっていた
借用しきっていた	信用しきっていた
負の返済	負債の返済
監替	監督
エンタティン	エンタテイン
HOIDINGS	HOLDINGS
携帯中話用	携帯電話用
目険者たち	冒険者たち
味なぼくの輪郭	曖昧なぼくの輪郭
害籍	書籍
数手賞	歌手賞
一の不安	一抹の不安
傀社長	傀儡社長
甘堝	坩堝
成熱してきた	成熟してきた
含じて	信じて
普星のごとく	彗星のごとく
自由閣達	自由闊達
反発されて	反芻されて
既舎	厩舎
昔崎	芦崎
鎌田意	鎌田慧
消消費者	消費者
PRESENIS	PRESENTS
MEEIS	MEETS
あたかも浸く	凄く
俯取	俯瞰
冬野竜産	冬野竜彦
菊池一化	菊池一仁
菊池一に	菊池一仁
trtが	trfが
triの	trfの
alobeの	globeの
alobe 	globe
れるか！	殴れるか！
パンパン聴いて	バンバン聴いて
ガーンツ	ガーンッ
エツー	エッー
ご美に	ご褒美に
JULIANA'STOKYO	JULIANA'S TOKYO
A Song for Xx	A Song for ××
言っこともある	言ったこともある
十嵐充	五十嵐充
25 c°clock	25 o'clock
なっで…	なって…
